lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.004,0.002,0.01,5,10,5,4,78.7167037278414,243.613719940186,1.93834038916975,2.73227710276842
0.006,0.004,0.01,5,10,5,4,78.5759957879782,242.799305915833,1.93839951651171,2.73031089454889
0.008,0.006,0.01,5,10,5,4,79.1573246568441,246.753931045532,1.947547623422,2.7596777305007
0.004,0.002,0.011,5,10,5,4,42.5655987858772,138.138008117676,1.70902448706329,2.27660723030567
0.006,0.004,0.011,5,10,5,4,42.2702731750906,136.503982543945,1.70904346974567,2.27820184081793
0.008,0.006,0.011,5,10,5,4,42.1719898097217,135.815966129303,1.70815109508112,2.27794144302607
0.004,0.002,0.012,5,10,5,4,41.1985781043768,137.371933460236,1.70186446979642,2.25831083953381
0.006,0.004,0.012,5,10,5,4,40.9417638927698,136.592352390289,1.7020491999574,2.25950423628092
0.008,0.006,0.012,5,10,5,4,42.1033381298184,145.675373077393,1.71050270320848,2.28117071092129
0.004,0.002,0.013,5,10,5,4,60.8116653934121,168.093967437744,1.84447993757203,2.45213769376278
0.006,0.004,0.013,5,10,5,4,60.0116691365838,172.213041782379,1.81313462788239,2.45255287736654
0.008,0.006,0.013,5,10,5,4,61.0071117803454,181.185233592987,1.82063087821007,2.4634100496769
0.004,0.002,0.014,5,10,5,4,57.4088964238763,138.860142230988,1.83244768995792,2.4657417088747
0.006,0.004,0.014,5,10,5,4,57.9203717410564,146.920335292816,1.8327857973054,2.46688295155764
0.008,0.006,0.014,5,10,5,4,58.7398575246334,165.595138072968,1.81265143444762,2.44081281125546
0.006,0.004,0.011,5,9,5,4,103.564056828618,319.614553451538,2.04071923159063,2.83158384263515
0.006,0.004,0.012,5,9,5,4,60.093146674335,180.523765087128,1.74342005513608,2.30051521211863
0.006,0.004,0.013,5,9,5,4,54.0982780233026,157.395660877228,1.73987158341333,2.35758386552334
0.006,0.004,0.011,5,11,5,4,397.719715386629,1210.55498123169,5.92585921287537,12.12068349123
0.006,0.004,0.012,5,11,5,4,363.177742213011,983.971500396729,5.51894008181989,12.0735555887222
0.006,0.004,0.013,5,11,5,4,343.414241522551,896.909809112549,5.31041218433529,12.2560903429985
0.006,0.004,0.011,5,10,6,4,39.4529883190989,140.464878082275,1.68960239738226,2.18003336340189
0.006,0.004,0.012,5,10,6,4,37.6266181841493,141.77850484848,1.68841676320881,2.20288522541523
0.006,0.004,0.013,5,10,6,4,38.2731150835752,146.728467941284,1.70167184667662,2.23065633326769
