lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.004,0.002,0.01,5,10,5,4,71.2451580024901,570.672559738159,175.118090425219,216.352677345276
0.006,0.004,0.01,5,10,5,4,71.2693640518756,571.016502380371,175.111457847414,216.240334510803
0.008,0.006,0.01,5,10,5,4,71.2693640518756,571.016502380371,175.111457847414,216.240334510803
0.004,0.002,0.011,5,10,5,4,71.2451621890068,570.672607421875,175.118088722229,216.352677345276
0.006,0.004,0.011,5,10,5,4,71.2693691963241,571.016550064087,175.11145557676,216.240334510803
0.008,0.006,0.011,5,10,5,4,71.2693691963241,571.016550064087,175.11145557676,216.240334510803
0.004,0.002,0.012,5,10,5,4,71.2451703491665,570.672702789307,175.118085316249,216.352677345276
0.006,0.004,0.012,5,10,5,4,71.2693768242995,571.016645431519,175.111452738444,216.240334510803
0.008,0.006,0.012,5,10,5,4,71.2693768242995,571.016645431519,175.111452738444,216.240334510803
0.004,0.002,0.013,5,10,5,4,71.2451787576789,570.672798156738,175.11808191027,216.352653503418
0.006,0.004,0.013,5,10,5,4,71.2693828557219,571.016693115234,175.111449332464,216.240334510803
0.008,0.006,0.013,5,10,5,4,71.2693828557219,571.016693115234,175.111449332464,216.240334510803
0.004,0.002,0.014,5,10,5,4,71.2451866694859,570.67289352417,175.118079639616,216.352653503418
0.006,0.004,0.014,5,10,5,4,71.2693929317452,571.016836166382,175.111449332464,216.240334510803
0.008,0.006,0.014,5,10,5,4,71.2693929317452,571.016836166382,175.111449332464,216.240334510803
0.006,0.004,0.011,5,9,5,4,66.6932812049275,488.887310028076,173.527428649721,213.477778434753
0.006,0.004,0.012,5,9,5,4,66.6932877685342,488.887357711792,173.527428082057,213.477778434753
0.006,0.004,0.013,5,9,5,4,66.6932921324457,488.887357711792,173.527424676078,213.477802276611
0.006,0.004,0.011,5,11,5,4,56.438374625785,203.802251815796,178.890380972908,223.254060745239
0.006,0.004,0.012,5,11,5,4,56.4383611083031,203.802132606506,178.890361672356,223.254179954529
0.006,0.004,0.013,5,11,5,4,56.4383449653784,203.801989555359,178.890341804141,223.254299163818
0.006,0.004,0.011,5,10,6,4,71.2693691963241,571.016550064087,175.11145557676,216.240334510803
0.006,0.004,0.012,5,10,6,4,71.2693768242995,571.016645431519,175.111452738444,216.240334510803
0.006,0.004,0.013,5,10,6,4,71.2693828557219,571.016693115234,175.111449332464,216.240334510803
